timestamp,consumption_kwh,profile_type,season,day_type,hour,month,base_load_kwh,seasonal_factor
2023-01-01 00:00:00,0.2144,ciftlik,kış,weekend,0,1,0.2053,0.7
2023-01-01 01:00:00,0.2082,ciftlik,kış,weekend,1,1,0.1642,0.7
2023-01-01 02:00:00,0.1728,ciftlik,kış,weekend,2,1,0.1642,0.7
2023-01-01 03:00:00,0.1828,ciftlik,kış,weekend,3,1,0.2053,0.7
2023-01-01 04:00:00,0.3187,ciftlik,kış,weekend,4,1,0.2737,0.7
2023-01-01 05:00:00,0.8495,ciftlik,kış,weekend,5,1,0.7526,0.7
2023-01-01 06:00:00,1.2019,ciftlik,kış,weekend,6,1,1.0948,0.7
2023-01-01 07:00:00,1.2072,ciftlik,kış,weekend,7,1,1.2042,0.7
2023-01-01 08:00:00,0.995,ciftlik,kış,weekend,8,1,1.0263,0.7
2023-01-01 09:00:00,0.7052,ciftlik,kış,weekend,9,1,0.8211,0.7
2023-01-01 10:00:00,0.8497,ciftlik,kış,weekend,10,1,0.7526,0.7
2023-01-01 11:00:00,0.6362,ciftlik,kış,weekend,11,1,0.6842,0.7
2023-01-01 12:00:00,0.6832,ciftlik,kış,weekend,12,1,0.7116,0.7
2023-01-01 13:00:00,0.8073,ciftlik,kış,weekend,13,1,0.7526,0.7
2023-01-01 14:00:00,0.7963,ciftlik,kış,weekend,14,1,0.7937,0.7
2023-01-01 15:00:00,0.862,ciftlik,kış,weekend,15,1,0.7526,0.7
2023-01-01 16:00:00,0.7468,ciftlik,kış,weekend,16,1,0.8211,0.7
2023-01-01 17:00:00,0.948,ciftlik,kış,weekend,17,1,0.9853,0.7
2023-01-01 18:00:00,0.8541,ciftlik,kış,weekend,18,1,0.8895,0.7
2023-01-01 19:00:00,0.5765,ciftlik,kış,weekend,19,1,0.5747,0.7
2023-01-01 20:00:00,0.4349,ciftlik,kış,weekend,20,1,0.3832,0.7
2023-01-01 21:00:00,0.3778,ciftlik,kış,weekend,21,1,0.3421,0.7
2023-01-01 22:00:00,0.3202,ciftlik,kış,weekend,22,1,0.2737,0.7
2023-01-01 23:00:00,0.2277,ciftlik,kış,weekend,23,1,0.2463,0.7
2023-01-02 00:00:00,0.2459,ciftlik,kış,weekday,0,1,0.2415,0.7
2023-01-02 01:00:00,0.2059,ciftlik,kış,weekday,1,1,0.1932,0.7
2023-01-02 02:00:00,0.1883,ciftlik,kış,weekday,2,1,0.1932,0.7
2023-01-02 03:00:00,0.236,ciftlik,kış,weekday,3,1,0.2415,0.7
2023-01-02 04:00:00,0.3067,ciftlik,kış,weekday,4,1,0.322,0.7
2023-01-02 05:00:00,0.9625,ciftlik,kış,weekday,5,1,0.8855,0.7
2023-01-02 06:00:00,1.4233,ciftlik,kış,weekday,6,1,1.2879,0.7
2023-01-02 07:00:00,1.6458,ciftlik,kış,weekday,7,1,1.4167,0.7
2023-01-02 08:00:00,1.219,ciftlik,kış,weekday,8,1,1.2075,0.7
2023-01-02 09:00:00,1.0443,ciftlik,kış,weekday,9,1,0.966,0.7
2023-01-02 10:00:00,0.8147,ciftlik,kış,weekday,10,1,0.8855,0.7
2023-01-02 11:00:00,0.843,ciftlik,kış,weekday,11,1,0.805,0.7
2023-01-02 12:00:00,0.7696,ciftlik,kış,weekday,12,1,0.8372,0.7
2023-01-02 13:00:00,0.9071,ciftlik,kış,weekday,13,1,0.8855,0.7
2023-01-02 14:00:00,0.8381,ciftlik,kış,weekday,14,1,0.9338,0.7
2023-01-02 15:00:00,0.8446,ciftlik,kış,weekday,15,1,0.8855,0.7
2023-01-02 16:00:00,0.9794,ciftlik,kış,weekday,16,1,0.966,0.7
2023-01-02 17:00:00,1.2974,ciftlik,kış,weekday,17,1,1.1592,0.7
2023-01-02 18:00:00,0.9905,ciftlik,kış,weekday,18,1,1.0465,0.7
2023-01-02 19:00:00,0.6649,ciftlik,kış,weekday,19,1,0.6762,0.7
2023-01-02 20:00:00,0.4396,ciftlik,kış,weekday,20,1,0.4508,0.7
2023-01-02 21:00:00,0.4222,ciftlik,kış,weekday,21,1,0.4025,0.7
2023-01-02 22:00:00,0.4062,ciftlik,kış,weekday,22,1,0.322,0.7
2023-01-02 23:00:00,0.3325,ciftlik,kış,weekday,23,1,0.2898,0.7
2023-01-03 00:00:00,0.2573,ciftlik,kış,weekday,0,1,0.2415,0.7
2023-01-03 01:00:00,0.2089,ciftlik,kış,weekday,1,1,0.1932,0.7
2023-01-03 02:00:00,0.2081,ciftlik,kış,weekday,2,1,0.1932,0.7
2023-01-03 03:00:00,0.2356,ciftlik,kış,weekday,3,1,0.2415,0.7
2023-01-03 04:00:00,0.347,ciftlik,kış,weekday,4,1,0.322,0.7
2023-01-03 05:00:00,1.0838,ciftlik,kış,weekday,5,1,0.8855,0.7
2023-01-03 06:00:00,1.5532,ciftlik,kış,weekday,6,1,1.2879,0.7
2023-01-03 07:00:00,1.3394,ciftlik,kış,weekday,7,1,1.4167,0.7
2023-01-03 08:00:00,1.1466,ciftlik,kış,weekday,8,1,1.2075,0.7
2023-01-03 09:00:00,0.8979,ciftlik,kış,weekday,9,1,0.966,0.7
2023-01-03 10:00:00,0.8571,ciftlik,kış,weekday,10,1,0.8855,0.7
2023-01-03 11:00:00,0.8944,ciftlik,kış,weekday,11,1,0.805,0.7
2023-01-03 12:00:00,0.7394,ciftlik,kış,weekday,12,1,0.8372,0.7
2023-01-03 13:00:00,0.844,ciftlik,kış,weekday,13,1,0.8855,0.7
2023-01-03 14:00:00,1.0896,ciftlik,kış,weekday,14,1,0.9338,0.7
2023-01-03 15:00:00,0.7709,ciftlik,kış,weekday,15,1,0.8855,0.7
2023-01-03 16:00:00,0.8922,ciftlik,kış,weekday,16,1,0.966,0.7
2023-01-03 17:00:00,1.1834,ciftlik,kış,weekday,17,1,1.1592,0.7
2023-01-03 18:00:00,1.0382,ciftlik,kış,weekday,18,1,1.0465,0.7
2023-01-03 19:00:00,0.6858,ciftlik,kış,weekday,19,1,0.6762,0.7
2023-01-03 20:00:00,0.4158,ciftlik,kış,weekday,20,1,0.4508,0.7
2023-01-03 21:00:00,0.4256,ciftlik,kış,weekday,21,1,0.4025,0.7
2023-01-03 22:00:00,0.3498,ciftlik,kış,weekday,22,1,0.322,0.7
2023-01-03 23:00:00,0.2809,ciftlik,kış,weekday,23,1,0.2898,0.7
2023-01-04 00:00:00,0.2293,ciftlik,kış,weekday,0,1,0.2415,0.7
2023-01-04 01:00:00,0.1885,ciftlik,kış,weekday,1,1,0.1932,0.7
2023-01-04 02:00:00,0.2105,ciftlik,kış,weekday,2,1,0.1932,0.7
2023-01-04 03:00:00,0.2372,ciftlik,kış,weekday,3,1,0.2415,0.7
2023-01-04 04:00:00,0.3084,ciftlik,kış,weekday,4,1,0.322,0.7
2023-01-04 05:00:00,0.9194,ciftlik,kış,weekday,5,1,0.8855,0.7
2023-01-04 06:00:00,1.286,ciftlik,kış,weekday,6,1,1.2879,0.7
2023-01-04 07:00:00,1.4858,ciftlik,kış,weekday,7,1,1.4167,0.7
2023-01-04 08:00:00,1.2928,ciftlik,kış,weekday,8,1,1.2075,0.7
2023-01-04 09:00:00,1.1207,ciftlik,kış,weekday,9,1,0.966,0.7
2023-01-04 10:00:00,0.8644,ciftlik,kış,weekday,10,1,0.8855,0.7
2023-01-04 11:00:00,0.7498,ciftlik,kış,weekday,11,1,0.805,0.7
2023-01-04 12:00:00,0.8312,ciftlik,kış,weekday,12,1,0.8372,0.7
2023-01-04 13:00:00,0.8484,ciftlik,kış,weekday,13,1,0.8855,0.7
2023-01-04 14:00:00,0.9412,ciftlik,kış,weekday,14,1,0.9338,0.7
2023-01-04 15:00:00,0.9603,ciftlik,kış,weekday,15,1,0.8855,0.7
2023-01-04 16:00:00,1.0474,ciftlik,kış,weekday,16,1,0.966,0.7
2023-01-04 17:00:00,1.1288,ciftlik,kış,weekday,17,1,1.1592,0.7
2023-01-04 18:00:00,1.1083,ciftlik,kış,weekday,18,1,1.0465,0.7
2023-01-04 19:00:00,0.6447,ciftlik,kış,weekday,19,1,0.6762,0.7
2023-01-04 20:00:00,0.4309,ciftlik,kış,weekday,20,1,0.4508,0.7
2023-01-04 21:00:00,0.3834,ciftlik,kış,weekday,21,1,0.4025,0.7
2023-01-04 22:00:00,0.2986,ciftlik,kış,weekday,22,1,0.322,0.7
2023-01-04 23:00:00,0.2966,ciftlik,kış,weekday,23,1,0.2898,0.7
2023-01-05 00:00:00,0.2476,ciftlik,kış,weekday,0,1,0.2415,0.7
2023-01-05 01:00:00,0.1849,ciftlik,kış,weekday,1,1,0.1932,0.7
2023-01-05 02:00:00,0.1836,ciftlik,kış,weekday,2,1,0.1932,0.7
2023-01-05 03:00:00,0.2684,ciftlik,kış,weekday,3,1,0.2415,0.7
2023-01-05 04:00:00,0.3169,ciftlik,kış,weekday,4,1,0.322,0.7
2023-01-05 05:00:00,0.8435,ciftlik,kış,weekday,5,1,0.8855,0.7
2023-01-05 06:00:00,1.261,ciftlik,kış,weekday,6,1,1.2879,0.7
2023-01-05 07:00:00,1.2427,ciftlik,kış,weekday,7,1,1.4167,0.7
2023-01-05 08:00:00,1.1469,ciftlik,kış,weekday,8,1,1.2075,0.7
2023-01-05 09:00:00,1.0191,ciftlik,kış,weekday,9,1,0.966,0.7
2023-01-05 10:00:00,0.9194,ciftlik,kış,weekday,10,1,0.8855,0.7
2023-01-05 11:00:00,0.7518,ciftlik,kış,weekday,11,1,0.805,0.7
2023-01-05 12:00:00,0.7895,ciftlik,kış,weekday,12,1,0.8372,0.7
2023-01-05 13:00:00,0.956,ciftlik,kış,weekday,13,1,0.8855,0.7
2023-01-05 14:00:00,0.85,ciftlik,kış,weekday,14,1,0.9338,0.7
2023-01-05 15:00:00,0.8378,ciftlik,kış,weekday,15,1,0.8855,0.7
2023-01-05 16:00:00,1.0789,ciftlik,kış,weekday,16,1,0.966,0.7
2023-01-05 17:00:00,1.3197,ciftlik,kış,weekday,17,1,1.1592,0.7
2023-01-05 18:00:00,0.9627,ciftlik,kış,weekday,18,1,1.0465,0.7
2023-01-05 19:00:00,0.7265,ciftlik,kış,weekday,19,1,0.6762,0.7
2023-01-05 20:00:00,0.4467,ciftlik,kış,weekday,20,1,0.4508,0.7
2023-01-05 21:00:00,0.4557,ciftlik,kış,weekday,21,1,0.4025,0.7
2023-01-05 22:00:00,0.3166,ciftlik,kış,weekday,22,1,0.322,0.7
2023-01-05 23:00:00,0.2742,ciftlik,kış,weekday,23,1,0.2898,0.7
2023-01-06 00:00:00,0.2998,ciftlik,kış,weekday,0,1,0.2415,0.7
2023-01-06 01:00:00,0.1885,ciftlik,kış,weekday,1,1,0.1932,0.7
2023-01-06 02:00:00,0.1672,ciftlik,kış,weekday,2,1,0.1932,0.7
2023-01-06 03:00:00,0.2916,ciftlik,kış,weekday,3,1,0.2415,0.7
2023-01-06 04:00:00,0.3273,ciftlik,kış,weekday,4,1,0.322,0.7
2023-01-06 05:00:00,0.8636,ciftlik,kış,weekday,5,1,0.8855,0.7
2023-01-06 06:00:00,1.2892,ciftlik,kış,weekday,6,1,1.2879,0.7
2023-01-06 07:00:00,1.4198,ciftlik,kış,weekday,7,1,1.4167,0.7
2023-01-06 08:00:00,1.3246,ciftlik,kış,weekday,8,1,1.2075,0.7
2023-01-06 09:00:00,0.9504,ciftlik,kış,weekday,9,1,0.966,0.7
2023-01-06 10:00:00,0.7233,ciftlik,kış,weekday,10,1,0.8855,0.7
2023-01-06 11:00:00,0.8257,ciftlik,kış,weekday,11,1,0.805,0.7
2023-01-06 12:00:00,0.8371,ciftlik,kış,weekday,12,1,0.8372,0.7
2023-01-06 13:00:00,0.9058,ciftlik,kış,weekday,13,1,0.8855,0.7
2023-01-06 14:00:00,0.8697,ciftlik,kış,weekday,14,1,0.9338,0.7
2023-01-06 15:00:00,0.9417,ciftlik,kış,weekday,15,1,0.8855,0.7
2023-01-06 16:00:00,1.016,ciftlik,kış,weekday,16,1,0.966,0.7
2023-01-06 17:00:00,0.9618,ciftlik,kış,weekday,17,1,1.1592,0.7
2023-01-06 18:00:00,1.1175,ciftlik,kış,weekday,18,1,1.0465,0.7
2023-01-06 19:00:00,0.7083,ciftlik,kış,weekday,19,1,0.6762,0.7
2023-01-06 20:00:00,0.4979,ciftlik,kış,weekday,20,1,0.4508,0.7
2023-01-06 21:00:00,0.4452,ciftlik,kış,weekday,21,1,0.4025,0.7
2023-01-06 22:00:00,0.3496,ciftlik,kış,weekday,22,1,0.322,0.7
2023-01-06 23:00:00,0.3246,ciftlik,kış,weekday,23,1,0.2898,0.7
2023-01-07 00:00:00,0.2138,ciftlik,kış,weekend,0,1,0.2053,0.7
2023-01-07 01:00:00,0.1652,ciftlik,kış,weekend,1,1,0.1642,0.7
2023-01-07 02:00:00,0.1787,ciftlik,kış,weekend,2,1,0.1642,0.7
2023-01-07 03:00:00,0.228,ciftlik,kış,weekend,3,1,0.2053,0.7
2023-01-07 04:00:00,0.3247,ciftlik,kış,weekend,4,1,0.2737,0.7
2023-01-07 05:00:00,0.686,ciftlik,kış,weekend,5,1,0.7526,0.7
2023-01-07 06:00:00,1.1561,ciftlik,kış,weekend,6,1,1.0948,0.7
2023-01-07 07:00:00,1.3501,ciftlik,kış,weekend,7,1,1.2042,0.7
2023-01-07 08:00:00,0.9239,ciftlik,kış,weekend,8,1,1.0263,0.7
2023-01-07 09:00:00,0.943,ciftlik,kış,weekend,9,1,0.8211,0.7
2023-01-07 10:00:00,0.7556,ciftlik,kış,weekend,10,1,0.7526,0.7
2023-01-07 11:00:00,0.7615,ciftlik,kış,weekend,11,1,0.6842,0.7
2023-01-07 12:00:00,0.7196,ciftlik,kış,weekend,12,1,0.7116,0.7
2023-01-07 13:00:00,0.5797,ciftlik,kış,weekend,13,1,0.7526,0.7
2023-01-07 14:00:00,0.7291,ciftlik,kış,weekend,14,1,0.7937,0.7
2023-01-07 15:00:00,0.7788,ciftlik,kış,weekend,15,1,0.7526,0.7
2023-01-07 16:00:00,0.7313,ciftlik,kış,weekend,16,1,0.8211,0.7
2023-01-07 17:00:00,0.9689,ciftlik,kış,weekend,17,1,0.9853,0.7
2023-01-07 18:00:00,0.8564,ciftlik,kış,weekend,18,1,0.8895,0.7
2023-01-07 19:00:00,0.559,ciftlik,kış,weekend,19,1,0.5747,0.7
