timestamp,consumption_kwh,profile_type,season,day_type,hour,month,base_load_kwh,seasonal_factor
2023-01-01 00:00:00,0.2034,ev,kış,weekend,0,1,0.2152,1.15
2023-01-01 01:00:00,0.1809,ev,kış,weekend,1,1,0.1761,1.15
2023-01-01 02:00:00,0.1685,ev,kış,weekend,2,1,0.1565,1.15
2023-01-01 03:00:00,0.1482,ev,kış,weekend,3,1,0.1565,1.15
2023-01-01 04:00:00,0.1626,ev,kış,weekend,4,1,0.1663,1.15
2023-01-01 05:00:00,0.2177,ev,kış,weekend,5,1,0.2152,1.15
2023-01-01 06:00:00,0.5275,ev,kış,weekend,6,1,0.4402,1.15
2023-01-01 07:00:00,0.6804,ev,kış,weekend,7,1,0.6652,1.15
2023-01-01 08:00:00,0.5271,ev,kış,weekend,8,1,0.538,1.15
2023-01-01 09:00:00,0.3765,ev,kış,weekend,9,1,0.3717,1.15
2023-01-01 10:00:00,0.3281,ev,kış,weekend,10,1,0.313,1.15
2023-01-01 11:00:00,0.3054,ev,kış,weekend,11,1,0.2935,1.15
2023-01-01 12:00:00,0.3248,ev,kış,weekend,12,1,0.3424,1.15
2023-01-01 13:00:00,0.3219,ev,kış,weekend,13,1,0.313,1.15
2023-01-01 14:00:00,0.2851,ev,kış,weekend,14,1,0.2935,1.15
2023-01-01 15:00:00,0.3296,ev,kış,weekend,15,1,0.3228,1.15
2023-01-01 16:00:00,0.3579,ev,kış,weekend,16,1,0.3913,1.15
2023-01-01 17:00:00,0.591,ev,kış,weekend,17,1,0.6358,1.15
2023-01-01 18:00:00,0.9391,ev,kış,weekend,18,1,0.8804,1.15
2023-01-01 19:00:00,0.9385,ev,kış,weekend,19,1,0.9586,1.15
2023-01-01 20:00:00,0.91,ev,kış,weekend,20,1,0.8021,1.15
2023-01-01 21:00:00,0.5737,ev,kış,weekend,21,1,0.5673,1.15
2023-01-01 22:00:00,0.4282,ev,kış,weekend,22,1,0.4108,1.15
2023-01-01 23:00:00,0.333,ev,kış,weekend,23,1,0.2935,1.15
2023-01-02 00:00:00,0.1886,ev,kış,weekday,0,1,0.1871,1.15
2023-01-02 01:00:00,0.1522,ev,kış,weekday,1,1,0.1531,1.15
2023-01-02 02:00:00,0.1418,ev,kış,weekday,2,1,0.1361,1.15
2023-01-02 03:00:00,0.1407,ev,kış,weekday,3,1,0.1361,1.15
2023-01-02 04:00:00,0.1411,ev,kış,weekday,4,1,0.1446,1.15
2023-01-02 05:00:00,0.217,ev,kış,weekday,5,1,0.1871,1.15
2023-01-02 06:00:00,0.404,ev,kış,weekday,6,1,0.3828,1.15
2023-01-02 07:00:00,0.5962,ev,kış,weekday,7,1,0.5784,1.15
2023-01-02 08:00:00,0.4312,ev,kış,weekday,8,1,0.4678,1.15
2023-01-02 09:00:00,0.2857,ev,kış,weekday,9,1,0.3232,1.15
2023-01-02 10:00:00,0.2596,ev,kış,weekday,10,1,0.2722,1.15
2023-01-02 11:00:00,0.2707,ev,kış,weekday,11,1,0.2552,1.15
2023-01-02 12:00:00,0.3263,ev,kış,weekday,12,1,0.2977,1.15
2023-01-02 13:00:00,0.2745,ev,kış,weekday,13,1,0.2722,1.15
2023-01-02 14:00:00,0.2408,ev,kış,weekday,14,1,0.2552,1.15
