timestamp,consumption_kwh,profile_type,season,day_type,hour,month,base_load_kwh,seasonal_factor
2023-01-01 00:00:00,0.0733,isyeri,kış,weekend,0,1,0.0677,1.1
2023-01-01 01:00:00,0.0556,isyeri,kış,weekend,1,1,0.0542,1.1
2023-01-01 02:00:00,0.0568,isyeri,kış,weekend,2,1,0.0542,1.1
2023-01-01 03:00:00,0.0554,isyeri,kış,weekend,3,1,0.0542,1.1
2023-01-01 04:00:00,0.0541,isyeri,kış,weekend,4,1,0.0542,1.1
2023-01-01 05:00:00,0.0736,isyeri,kış,weekend,5,1,0.0677,1.1
2023-01-01 06:00:00,0.119,isyeri,kış,weekend,6,1,0.1016,1.1
2023-01-01 07:00:00,0.2782,isyeri,kış,weekend,7,1,0.271,1.1
2023-01-01 08:00:00,0.4848,isyeri,kış,weekend,8,1,0.4742,1.1
2023-01-01 09:00:00,0.5383,isyeri,kış,weekend,9,1,0.5758,1.1
2023-01-01 10:00:00,0.7154,isyeri,kış,weekend,10,1,0.5961,1.1
2023-01-01 11:00:00,0.4974,isyeri,kış,weekend,11,1,0.5961,1.1
2023-01-01 12:00:00,0.5462,isyeri,kış,weekend,12,1,0.5555,1.1
2023-01-01 13:00:00,0.658,isyeri,kış,weekend,13,1,0.5758,1.1
2023-01-01 14:00:00,0.5786,isyeri,kış,weekend,14,1,0.5961,1.1
2023-01-01 15:00:00,0.6197,isyeri,kış,weekend,15,1,0.5758,1.1
2023-01-01 16:00:00,0.5251,isyeri,kış,weekend,16,1,0.5081,1.1
2023-01-01 17:00:00,0.3618,isyeri,kış,weekend,17,1,0.3726,1.1
2023-01-01 18:00:00,0.2276,isyeri,kış,weekend,18,1,0.2371,1.1
2023-01-01 19:00:00,0.1647,isyeri,kış,weekend,19,1,0.1694,1.1
2023-01-01 20:00:00,0.131,isyeri,kış,weekend,20,1,0.1219,1.1
2023-01-01 21:00:00,0.0953,isyeri,kış,weekend,21,1,0.1016,1.1
2023-01-01 22:00:00,0.0938,isyeri,kış,weekend,22,1,0.0813,1.1
2023-01-01 23:00:00,0.0755,isyeri,kış,weekend,23,1,0.0677,1.1
2023-01-02 00:00:00,0.1945,isyeri,kış,weekday,0,1,0.1935,1.1
2023-01-02 01:00:00,0.1454,isyeri,kış,weekday,1,1,0.1548,1.1
2023-01-02 02:00:00,0.183,isyeri,kış,weekday,2,1,0.1548,1.1
2023-01-02 03:00:00,0.1693,isyeri,kış,weekday,3,1,0.1548,1.1
2023-01-02 04:00:00,0.1423,isyeri,kış,weekday,4,1,0.1548,1.1
2023-01-02 05:00:00,0.1969,isyeri,kış,weekday,5,1,0.1935,1.1
2023-01-02 06:00:00,0.3209,isyeri,kış,weekday,6,1,0.2903,1.1
2023-01-02 07:00:00,0.8306,isyeri,kış,weekday,7,1,0.7742,1.1
2023-01-02 08:00:00,1.2047,isyeri,kış,weekday,8,1,1.3548,1.1
2023-01-02 09:00:00,1.5711,isyeri,kış,weekday,9,1,1.6452,1.1
2023-01-02 10:00:00,1.8515,isyeri,kış,weekday,10,1,1.7032,1.1
2023-01-02 11:00:00,1.6307,isyeri,kış,weekday,11,1,1.7032,1.1
2023-01-02 12:00:00,1.5149,isyeri,kış,weekday,12,1,1.5871,1.1
2023-01-02 13:00:00,1.6749,isyeri,kış,weekday,13,1,1.6452,1.1
2023-01-02 14:00:00,1.5543,isyeri,kış,weekday,14,1,1.7032,1.1
2023-01-02 15:00:00,1.4454,isyeri,kış,weekday,15,1,1.6452,1.1
2023-01-02 16:00:00,1.5567,isyeri,kış,weekday,16,1,1.4516,1.1
2023-01-02 17:00:00,1.024,isyeri,kış,weekday,17,1,1.0645,1.1
2023-01-02 18:00:00,0.7366,isyeri,kış,weekday,18,1,0.6774,1.1
2023-01-02 19:00:00,0.5022,isyeri,kış,weekday,19,1,0.4839,1.1
2023-01-02 20:00:00,0.3271,isyeri,kış,weekday,20,1,0.3484,1.1
2023-01-02 21:00:00,0.2887,isyeri,kış,weekday,21,1,0.2903,1.1
2023-01-02 22:00:00,0.2409,isyeri,kış,weekday,22,1,0.2323,1.1
2023-01-02 23:00:00,0.1852,isyeri,kış,weekday,23,1,0.1935,1.1
2023-01-03 00:00:00,0.1839,isyeri,kış,weekday,0,1,0.1935,1.1
2023-01-03 01:00:00,0.1761,isyeri,kış,weekday,1,1,0.1548,1.1
2023-01-03 02:00:00,0.1541,isyeri,kış,weekday,2,1,0.1548,1.1
2023-01-03 03:00:00,0.1797,isyeri,kış,weekday,3,1,0.1548,1.1
2023-01-03 04:00:00,0.1796,isyeri,kış,weekday,4,1,0.1548,1.1
2023-01-03 05:00:00,0.2308,isyeri,kış,weekday,5,1,0.1935,1.1
2023-01-03 06:00:00,0.2852,isyeri,kış,weekday,6,1,0.2903,1.1
2023-01-03 07:00:00,0.6739,isyeri,kış,weekday,7,1,0.7742,1.1
2023-01-03 08:00:00,1.2374,isyeri,kış,weekday,8,1,1.3548,1.1
2023-01-03 09:00:00,1.7003,isyeri,kış,weekday,9,1,1.6452,1.1
2023-01-03 10:00:00,1.7562,isyeri,kış,weekday,10,1,1.7032,1.1
2023-01-03 11:00:00,2.1081,isyeri,kış,weekday,11,1,1.7032,1.1
2023-01-03 12:00:00,1.7622,isyeri,kış,weekday,12,1,1.5871,1.1
2023-01-03 13:00:00,1.5426,isyeri,kış,weekday,13,1,1.6452,1.1
2023-01-03 14:00:00,1.7869,isyeri,kış,weekday,14,1,1.7032,1.1
2023-01-03 15:00:00,1.6787,isyeri,kış,weekday,15,1,1.6452,1.1
2023-01-03 16:00:00,1.492,isyeri,kış,weekday,16,1,1.4516,1.1
2023-01-03 17:00:00,1.0566,isyeri,kış,weekday,17,1,1.0645,1.1
2023-01-03 18:00:00,0.6753,isyeri,kış,weekday,18,1,0.6774,1.1
2023-01-03 19:00:00,0.4529,isyeri,kış,weekday,19,1,0.4839,1.1
2023-01-03 20:00:00,0.3625,isyeri,kış,weekday,20,1,0.3484,1.1
2023-01-03 21:00:00,0.3025,isyeri,kış,weekday,21,1,0.2903,1.1
2023-01-03 22:00:00,0.2267,isyeri,kış,weekday,22,1,0.2323,1.1
2023-01-03 23:00:00,0.1787,isyeri,kış,weekday,23,1,0.1935,1.1
2023-01-04 00:00:00,0.1937,isyeri,kış,weekday,0,1,0.1935,1.1
2023-01-04 01:00:00,0.1546,isyeri,kış,weekday,1,1,0.1548,1.1
2023-01-04 02:00:00,0.193,isyeri,kış,weekday,2,1,0.1548,1.1
2023-01-04 03:00:00,0.1616,isyeri,kış,weekday,3,1,0.1548,1.1
2023-01-04 04:00:00,0.1792,isyeri,kış,weekday,4,1,0.1548,1.1
2023-01-04 05:00:00,0.1704,isyeri,kış,weekday,5,1,0.1935,1.1
2023-01-04 06:00:00,0.3198,isyeri,kış,weekday,6,1,0.2903,1.1
2023-01-04 07:00:00,0.8779,isyeri,kış,weekday,7,1,0.7742,1.1
2023-01-04 08:00:00,1.2119,isyeri,kış,weekday,8,1,1.3548,1.1
2023-01-04 09:00:00,1.5936,isyeri,kış,weekday,9,1,1.6452,1.1
2023-01-04 10:00:00,1.7905,isyeri,kış,weekday,10,1,1.7032,1.1
2023-01-04 11:00:00,1.6022,isyeri,kış,weekday,11,1,1.7032,1.1
2023-01-04 12:00:00,1.6641,isyeri,kış,weekday,12,1,1.5871,1.1
2023-01-04 13:00:00,1.6059,isyeri,kış,weekday,13,1,1.6452,1.1
2023-01-04 14:00:00,1.7095,isyeri,kış,weekday,14,1,1.7032,1.1
2023-01-04 15:00:00,1.7877,isyeri,kış,weekday,15,1,1.6452,1.1
2023-01-04 16:00:00,1.4222,isyeri,kış,weekday,16,1,1.4516,1.1
2023-01-04 17:00:00,1.2091,isyeri,kış,weekday,17,1,1.0645,1.1
2023-01-04 18:00:00,0.7373,isyeri,kış,weekday,18,1,0.6774,1.1
2023-01-04 19:00:00,0.4751,isyeri,kış,weekday,19,1,0.4839,1.1
2023-01-04 20:00:00,0.4171,isyeri,kış,weekday,20,1,0.3484,1.1
2023-01-04 21:00:00,0.3121,isyeri,kış,weekday,21,1,0.2903,1.1
2023-01-04 22:00:00,0.2397,isyeri,kış,weekday,22,1,0.2323,1.1
2023-01-04 23:00:00,0.2138,isyeri,kış,weekday,23,1,0.1935,1.1
2023-01-05 00:00:00,0.1977,isyeri,kış,weekday,0,1,0.1935,1.1
2023-01-05 01:00:00,0.1948,isyeri,kış,weekday,1,1,0.1548,1.1
2023-01-05 02:00:00,0.1652,isyeri,kış,weekday,2,1,0.1548,1.1
2023-01-05 03:00:00,0.167,isyeri,kış,weekday,3,1,0.1548,1.1
2023-01-05 04:00:00,0.17,isyeri,kış,weekday,4,1,0.1548,1.1
2023-01-05 05:00:00,0.2159,isyeri,kış,weekday,5,1,0.1935,1.1
2023-01-05 06:00:00,0.3455,isyeri,kış,weekday,6,1,0.2903,1.1
2023-01-05 07:00:00,0.896,isyeri,kış,weekday,7,1,0.7742,1.1
2023-01-05 08:00:00,1.2499,isyeri,kış,weekday,8,1,1.3548,1.1
2023-01-05 09:00:00,1.5446,isyeri,kış,weekday,9,1,1.6452,1.1
2023-01-05 10:00:00,1.6761,isyeri,kış,weekday,10,1,1.7032,1.1
2023-01-05 11:00:00,1.7161,isyeri,kış,weekday,11,1,1.7032,1.1
2023-01-05 12:00:00,1.5919,isyeri,kış,weekday,12,1,1.5871,1.1
2023-01-05 13:00:00,1.6492,isyeri,kış,weekday,13,1,1.6452,1.1
2023-01-05 14:00:00,1.5355,isyeri,kış,weekday,14,1,1.7032,1.1
